title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
Exposed,0,0,4.2,23,0,R,22/01/2016,102,53,23,488,368,30.5,27,6,4,72,64,4.5,4.25,23,23,92,92,23,23,4,4,16,16,4,4,23,23,92,92,23,23,4,4,16,16,4,4
Extinction,7000000,0,5.8,46,0,R,31/07/2015,112,82,15,302,168,60.4,48,8,1,35,23,7,6.4,49,46,49,46,49,48,6,5,6,5,6,5,70,45,119,91,59.5,51.5,8,5,14,10,7,6
Extraction,0,0,4,25,0,R,18/12/2015,83,94,13,307,76,76.75,42.75,9,2,32,10,8,6,53,25,53,25,53,37,10,3,10,3,10,7,25,25,25,25,25,25,3,3,3,3,3,3
Extraordinary Tales,2000000,0,6.4,59,0,,23/10/2015,73,98,13,401,168,80.2,57.8,10,1,42,19,8.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,
Extraterrestrial,0,0,5,38,0,,21/11/2014,101,89,22,340,160,68,47.8,10,3,37,23,7.4,6.4,38,38,38,38,38,38,6,6,6,6,6,6,38,38,76,76,38,38,6,6,12,12,6,6
Eye in the Sky,13000000,18700837,7.3,73,113803,R,11/03/2016,102,91,23,383,315,76.6,69.4,8,1,36,29,7.2,7,73,40,73,40,73,58,8,5,8,5,8,7,73,62,73,62,73,67,8,7,8,7,8,7
Faith of Our Fathers,0,986472,3.4,20,27717,PG-13,01/07/2015,96,77,1,260,77,52,30.8,9,2,36,14,7.2,6,22,20,22,20,22,21,3,2,3,2,3,3,57,20,79,40,39.5,27,8,2,11,5,5.5,4.5
Falcon Rising,4500000,8691,5.8,49,8691,R,05/09/2014,103,80,11,298,123,59.6,43.8,10,2,36,18,7.2,6,64,32,64,32,64,50,9,2,9,2,9,6,49,49,49,49,49,49,4,4,4,4,4,4
Famous Nathan,0,0,7.2,74,0,,17/07/2015,86,74,74,370,370,74,74,7,7,35,35,7,7,74,74,74,74,74,74,7,7,7,7,7,7,74,74,74,74,74,74,7,7,7,7,7,7
Fantastic Beasts and Where to Find Them,180000000,234018657,7.4,66,74403387,PG-13,18/11/2016,133,94,28,283,183,70.75,59,9,3,31,22,7.75,7.5,87,44,87,44,87,69,10,6,10,6,10,8,87,63,87,63,87,73,10,7,10,7,10,8
