title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
Shes Funny That Way,0,88460,6.1,45,20814,R,21/08/2015,93,89,12,432,153,86.4,58.2,10,1,45,19,9,7.4,79,37,79,37,79,56,10,4,10,4,10,7,79,37,124,82,62,50.5,10,4,17,11,8.5,7
Shelley,0,0,8.1,62,0,,29/07/2016,92,44,44,44,44,44,44,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
Shelter,0,142666,7.8,43,3464,R,13/11/2015,105,95,22,378,211,75.6,59.4,8,6,40,35,8,8,66,66,66,66,66,66,8,8,8,8,8,8,66,66,66,66,66,66,8,8,8,8,8,8
Sherpa,0,0,7.7,93,0,,02/10/2015,96,,,,,,,,,,,,,93,93,93,93,93,93,8,8,8,8,8,8,93,93,93,93,93,93,8,8,8,8,8,8
Shin Godzilla (Godzilla Resurgence),0,1908028,6.8,68,455036,,11/10/2016,120,94,47,399,287,79.8,66.2,10,5,44,36,8.8,8,83,68,83,68,83,76,8,8,8,8,8,8,83,68,83,68,83,76,8,8,8,8,8,8
Shut In,0,0,5.7,25,0,R,11/11/2016,91,91,12,306,165,61.2,46,8,3,36,25,7.2,6.2,39,39,39,39,39,39,6,6,6,6,6,6,39,38,39,38,39,39,6,3,6,3,6,6
Sicario,30000000,46875468,7.6,82,401288,R,18/09/2015,121,91,16,431,144,86.2,59.8,9,1,45,17,9,7.2,82,61,82,61,82,72,9,6,9,6,9,8,86,68,86,68,86,80,9,8,9,8,9,8
Silence,46000000,7079191,7.2,79,130880,R,23/12/2016,161,94,26,280,98,93.3333,64,10,4,27,14,9,7,93,16,93,16,93,71,9,3,9,3,9,8,93,16,176,69,88,71.5,9,3,17,10,8.5,8
Sin City: A Dame To Kill For,65000000,13750556,6.5,46,6317683,R,22/08/2014,102,91,12,344,82,86,54.75,9,1,36,12,9,7.25,86,30,163,67,81.5,55.5,9,3,18,7,9,7,86,30,172,60,86,54,9,4,18,8,9,7
Sing,75000000,270322340,7.2,59,35258145,PG,21/12/2016,108,90,16,425,131,85,58.8,9,2,43,14,8.6,6.8,66,59,125,118,62.5,61,7,6,13,12,6.5,6.5,66,59,66,59,66,63,7,6,7,6,7,7
Sing Street,0,3233839,8,79,63573,PG-13,15/04/2016,106,81,32,319,163,79.75,62.25,9,4,36,22,9,8,88,62,88,62,88,76,9,8,9,8,9,8,88,62,88,62,88,76,9,8,9,8,9,8
Sinister 2,10000000,27736779,5.3,32,10542116,R,21/08/2015,97,85,17,273,119,54.6,39,9,1,38,21,7.6,6.2,60,32,60,32,60,46,7,6,7,6,7,7,72,16,144,48,72,49.5,8,3,16,9,8,6.5
Sisters,30000000,87028670,6,58,13922855,R,18/12/2015,118,94,12,333,83,83.25,51,9,2,35,12,8.75,6,,,,,,,,,,,,,,,,,,,,,,,,
Skin Trade,9000000,162,5.7,39,162,R,08/05/2015,96,78,14,327,150,65.4,47.6,10,1,42,20,8.4,6.6,66,39,66,39,66,53,8,5,8,5,8,8,58,1,98,36,49,35.5,8,1,13,6,6.5,5.5
Skiptrace,32000000,0,5.7,50,0,PG-13,02/09/2016,107,77,27,285,138,71.25,52.25,9,1,35,8,8.75,7,67,19,67,19,67,40,9,2,9,2,9,6,50,50,100,100,50,50,6,6,12,12,6,6
Sleeping with Other People,0,814775,6.5,64,89102,R,11/09/2015,101,87,18,381,174,76.2,56.6,9,2,40,22,8,7,64,53,64,53,64,60,7,5,7,5,7,6,64,53,64,53,64,60,7,5,7,5,7,6
Slow West,2000000,229094,6.9,72,6459,R,15/05/2015,84,96,33,396,249,79.2,64.8,9,3,41,26,8.2,7,72,72,72,72,72,72,7,7,7,7,7,7,72,72,72,72,72,72,7,7,7,7,7,7
Snowden,40000000,21480133,7.3,58,8000058,R,16/09/2016,134,87,1,371,145,74.2,55.6,10,1,42,20,8.4,7.2,93,39,93,39,93,62,9,2,9,2,9,8,93,39,161,97,80.5,62.5,9,2,16,9,8,7.5
Snowpiercer,39200000,4563029,7,84,171187,R,27/06/2014,126,96,16,440,163,88,61,10,1,47,23,9.4,7,85,61,85,61,85,76,8,7,8,7,8,8,85,42,169,103,84.5,73,8,5,16,12,8,7.5
Soaked in Bleach,0,0,7.5,50,0,,11/06/2015,100,88,25,276,189,69,55.75,9,5,33,29,8.25,7.75,64,27,64,27,64,45,8,7,8,7,8,8,64,27,114,77,57,47.5,8,7,16,15,8,8
Solace,0,0,6.4,36,0,R,16/12/2016,101,89,24,401,144,80.2,51.6,10,2,45,20,9,7,36,36,36,36,36,36,6,6,6,6,6,6,83,21,83,21,83,53,9,2,9,2,9,7
Some Kind Of Beautiful,0,0,5.8,11,0,R,21/08/2015,99,81,11,268,44,67,42.75,9,1,33,9,8.25,6.25,69,11,69,11,69,40,8,5,8,5,8,7,,,,,,,,,,,,
Son of a Gun,0,0,6.5,48,0,R,23/01/2015,108,61,25,253,217,50.6,47.8,7,3,31,27,6.2,6,48,48,48,48,48,48,6,6,6,6,6,6,81,37,129,85,64.5,52.5,7,4,13,10,6.5,6
Son of God,22000000,59696176,5.7,37,25601865,PG-13,28/02/2014,138,67,36,233,184,46.6,41.8,7,4,26,20,5.2,5.2,37,37,37,37,37,37,4,4,4,4,4,4,37,37,74,74,37,37,4,4,8,8,4,4
Son of Saul,280000000,1776814,7.5,89,37930,R,18/12/2015,107,89,89,445,445,89,89,7,7,35,35,7,7,89,89,89,89,89,89,7,7,7,7,7,7,89,89,178,178,89,89,7,7,14,14,7,7
Song of the Sea,5300000,850043,8.1,85,21910,PG,19/12/2014,93,85,29,425,286,85,70.6,9,4,42,31,8.4,7.6,85,61,85,61,85,76,8,7,8,7,8,8,85,51,170,112,85,72,8,7,16,15,8,8
Song One,6000000,20200,5.8,48,20200,PG-13,23/01/2015,86,89,14,417,133,83.4,57.2,9,3,41,24,8.2,7,48,48,48,48,48,48,7,7,7,7,7,7,48,48,48,48,48,48,7,7,7,7,7,7
Southbound,0,6250,5.9,58,6250,R,05/02/2016,89,83,30,326,181,65.2,53,8,3,36,21,7.2,6,72,28,135,77,67.5,57,9,4,17,8,8.5,6.5,72,34,130,83,65,55,8,3,15,7,7.5,6.5
Southpaw,30000000,52418902,7.4,57,16701294,R,24/07/2015,124,93,9,425,124,85,56.8,10,2,45,17,9,7,78,39,78,39,78,52,9,1,9,1,9,7,92,55,92,55,92,77,10,6,10,6,10,9
Southside with You,1500000,6303853,6.6,74,2868956,PG-13,26/08/2016,84,95,19,392,222,78.4,61,9,4,37,25,7.4,6.8,74,74,74,74,74,74,5,5,5,5,5,5,74,74,74,74,74,74,5,5,5,5,5,5
Spa Night,0,38578,5.8,76,7056,,19/08/2016,93,76,76,228,228,76,76,7,7,21,21,7,7,76,76,76,76,76,76,7,7,7,7,7,7,76,76,76,76,76,76,7,7,7,7,7,7
Space Station 76,0,0,4.9,49,0,R,19/09/2014,93,77,11,350,131,70,48.6,9,1,44,18,8.8,6.4,74,21,74,21,74,53,10,2,10,2,10,6,52,34,102,83,51,46.5,10,6,17,12,8.5,7
Spare Parts,0,3610933,7.3,50,808022,PG-13,16/01/2015,83,86,19,351,160,70.2,50.2,10,1,41,20,8.2,6.8,53,21,53,21,53,37,7,3,7,3,7,6,52,40,102,90,51,48,10,7,17,14,8.5,8.5
SPECTRE,245000000,200074175,6.8,60,70403148,PG-13,06/11/2015,148,94,12,420,147,84,60.2,9,3,44,22,8.8,7.2,86,44,86,44,86,65,9,6,9,6,9,8,83,23,164,64,82,59,9,5,18,10,9,7
Spotlight,20000000,44988180,8.1,93,295009,R,06/11/2015,128,93,14,465,131,93,57.2,10,1,48,16,9.6,7.2,66,66,66,66,66,66,,,,,,,93,49,159,115,79.5,68.5,8,6,8,6,8,8
Spring,0,48949,6.7,69,19675,,20/03/2015,109,71,20,347,212,69.4,56.4,8,1,36,24,7.2,6.8,78,35,156,73,78,59.5,7,3,14,6,7,7,78,35,78,35,78,57,7,3,7,3,7,7
Spy,65000000,110822419,7,75,29085719,R,05/06/2015,119,88,23,388,200,77.6,58.8,9,3,39,20,7.8,6.6,75,43,75,43,75,59,8,3,8,3,8,6,75,43,75,43,75,59,8,3,8,3,8,6
St. Vincent,13000000,44134898,7.3,64,109878,PG-13,10/10/2014,102,89,14,414,117,82.8,55,9,2,43,16,8.6,7,74,50,74,50,74,63,8,6,8,6,8,8,74,50,74,50,74,63,8,6,8,6,8,8
Stage Fright,100000,22757819,4.2,39,10015000,R,09/05/2014,89,30,30,150,150,30,30,6,6,30,30,6,6,30,30,60,60,30,30,6,6,12,12,6,6,30,30,60,60,30,30,6,6,12,12,6,6
Stalingrad,68000000,51396781,7.6,49,1033164,R,28/02/2014,131,96,23,441,157,88.2,56.8,10,3,45,20,9,7,63,22,63,22,63,47,9,6,9,6,9,6,63,22,126,54,63,49.5,9,6,18,12,9,6.5
Standoff,0,0,6,36,0,R,12/02/2016,80,90,16,354,157,70.8,47.8,10,2,42,22,8.4,6.8,42,36,42,36,42,39,6,3,6,3,6,6,42,36,42,36,42,39,6,3,6,3,6,6
Star Trek Beyond,185000000,158804470,7.1,68,59253211,PG-13,22/07/2016,122,88,1,422,110,84.4,56,9,3,43,21,8.6,7,68,37,68,37,68,55,7,3,7,3,7,7,82,29,82,29,82,59,9,4,9,4,9,7
Star Wars: Episode VII - The Force Awakens,245000000,936627416,8.1,81,247966675,PG-13,18/12/2015,135,93,32,367,187,91.75,70,10,4,36,20,9,7.25,82,27,82,27,82,67,9,5,9,5,9,8,85,27,167,62,83.5,63,9,5,18,10,9,8
Starred Up,0,34100,7.4,81,13561,,27/08/2014,106,81,44,390,327,78,71.8,9,7,42,39,8.4,8.2,88,41,88,41,88,61,8,5,8,5,8,7,81,81,81,81,81,81,8,8,8,8,8,8
Starry Eyes,0,0,6,49,0,,14/11/2014,98,84,28,277,141,69.25,52.25,9,4,33,19,8.25,6.75,50,49,100,98,50,50,6,5,12,10,6,5.5,50,49,100,98,50,50,6,5,12,10,6,5.5
Step Up: All In,45000000,14897580,6,45,6469857,PG-13,08/08/2014,112,83,24,200,97,66.6667,44.6667,9,3,24,13,8,5.6667,,,,,,,,,,,,,53,14,98,54,49,40,8,5,13,10,6.5,5.5
Stephen King’s A Good Marriage,0,0,5.2,43,0,R,03/10/2014,102,86,14,321,117,80.25,53.5,10,1,36,15,9,7,71,18,71,18,71,44,8,5,8,5,8,8,,,,,,,,,,,,
Steve Jobs,30000000,17750583,7.2,82,521522,R,09/10/2015,122,98,18,452,161,90.4,62.8,10,2,46,19,9.2,7,86,35,86,35,86,70,9,6,9,6,9,8,95,62,95,62,95,77,8,7,8,7,8,8
Steve Jobs: Man in the Machine,0,494461,6.9,72,90599,R,04/09/2015,128,68,40,108,108,54,54,7,1,8,8,4,4,89,26,89,26,89,69,9,5,9,5,9,7,89,26,89,26,89,69,9,5,9,5,9,7
Still Alice,5000000,18656400,7.5,72,411000,PG-13,05/12/2014,101,88,16,389,149,77.8,55.6,9,1,43,18,8.6,6.8,72,46,144,92,72,61.5,8,4,16,8,8,8,72,46,144,92,72,61.5,8,4,16,8,8,8
Stonewall,13500000,186354,4.9,30,112414,R,25/09/2015,129,95,25,388,185,77.6,56.8,9,2,42,22,8.4,6.8,63,30,63,30,63,44,10,2,10,2,10,6,54,30,54,30,54,47,9,4,9,4,9,5
Straight Outta Compton,28000000,161029270,7.9,72,56100000,R,14/08/2015,147,82,36,372,232,74.4,61.2,9,5,42,29,8.4,7.4,72,23,72,23,72,49,9,4,9,4,9,7,72,34,144,86,72,61,8,4,16,11,8,7.5
Strange Magic,0,12427046,5.8,25,5504441,PG,23/01/2015,99,81,20,156,42,78,50.5,9,3,18,8,9,7,80,25,80,25,80,53,8,5,8,5,8,8,83,25,147,50,73.5,50.5,9,4,18,9,9,6
Stranger by the Lake,0,324891,6.8,82,27599,,24/01/2014,97,82,82,328,328,82,82,6,6,24,24,6,6,82,65,82,65,82,76,6,4,6,4,6,6,82,65,82,65,82,76,6,4,6,4,6,6
Strangerland,10000000,0,5.2,42,0,R,10/07/2015,112,87,21,362,180,72.4,53.6,9,4,38,24,7.6,6.4,,,,,,,,,,,,,42,42,42,42,42,42,5,5,5,5,5,5
Stray Dogs,19000000,6633400,6.8,84,2730440,R,12/09/2014,138,90,6,406,124,81.2,55.6,10,2,45,20,9,7,93,39,93,39,93,62,9,2,9,2,9,8,96,38,192,76,96,66,9,1,18,2,9,6
Suffragette,14000000,4693356,6.9,67,76244,PG-13,23/10/2015,106,93,30,382,246,76.4,63.2,9,3,40,28,8,7.4,67,61,67,61,67,64,7,7,7,7,7,7,75,54,75,54,75,66,8,6,8,6,8,7
Suicide Squad,175000000,325021779,6.2,40,133682248,PG-13,05/08/2016,123,81,23,275,143,68.75,52.75,9,3,34,21,8.5,7.25,69,40,69,40,69,56,9,5,9,5,9,8,69,40,69,40,69,56,9,5,9,5,9,8
Sully,60000000,125065700,7.5,74,35028301,PG-13,09/09/2016,96,95,23,169,57,84.5,55.5,9,2,17,6,8.5,7,90,46,90,46,90,68,9,6,9,6,9,8,74,31,74,31,74,53,9,5,9,5,9,8
Summer in February,5000000,0,5.6,22,0,,17/01/2014,100,85,19,227,107,45.4,34.2,9,3,27,15,5.4,4.4,50,22,50,22,50,34,3,3,3,3,3,3,22,22,22,22,22,22,3,3,3,3,3,3
Sunset Song,0,159257,6.5,72,12995,R,13/05/2016,135,94,33,400,241,80,64.2,10,5,43,29,8.6,7.6,85,72,85,72,85,79,8,5,8,5,8,6,85,72,157,144,78.5,75.5,8,5,16,13,8,7
Sunshine Superman,0,87875,6.9,70,22891,PG,22/05/2015,100,70,70,140,140,70,70,8,8,16,16,8,8,70,70,70,70,70,70,8,8,8,8,8,8,70,70,70,70,70,70,8,8,8,8,8,8
Supermensch: The Legend of Shep Gordon,0,212701,7.4,64,21060,R,06/06/2014,85,84,19,303,197,75.75,62.5,9,1,33,21,8.25,7.5,84,19,148,83,74,58,9,1,16,8,8,7,,,,,,,,,,,,
Supremacy,2000000,0,5.9,28,0,,30/01/2015,106,90,16,297,119,74.25,49.5,8,1,32,18,8,6.75,,,,,,,,,,,,,28,28,28,28,28,28,8,8,8,8,8,8
Survivor,1000000,0,7,28,0,,29/05/2015,96,71,40,71,40,71,56,10,4,10,4,10,7,,,,,,,,,,,,,71,71,71,71,71,71,8,8,8,8,8,8
Sweet Bean,234000000,119949,7.4,60,4630,,18/03/2016,113,89,36,345,264,69,62.6,9,6,41,36,8.2,8,60,52,60,52,60,56,8,8,8,8,8,8,60,52,120,112,60,58,8,8,16,16,8,8
Swiss Army Man,3000000,4208879,7,64,105453,R,24/06/2016,97,96,22,393,213,78.6,61.4,10,2,43,26,8.6,7,64,64,64,64,64,64,7,7,7,7,7,7,64,64,64,64,64,64,7,7,7,7,7,7
Synchronicity,0,4267,5.5,39,2859,R,22/01/2016,101,79,14,317,142,63.4,46.6,9,4,38,24,7.6,6.2,63,39,63,39,63,51,6,5,6,5,6,6,63,39,126,78,63,51,6,5,12,10,6,6
Take Me to the River,0,0,6,56,0,,12/09/2014,95,96,20,324,146,81,57.5,10,3,38,16,9.5,6.75,65,65,65,65,65,65,5,5,5,5,5,5,65,65,65,65,65,65,5,5,5,5,5,5
Taken 3,48000000,89253340,6,26,39201657,PG-13,09/01/2015,109,93,9,384,108,76.8,50.6,9,1,44,13,8.8,6.8,51,26,51,26,51,42,6,5,6,5,6,6,82,25,143,51,71.5,49.5,10,3,19,6,9.5,7
Tale of Tales,12000000,80809,6.4,72,9000,R,22/04/2016,133,85,11,407,126,81.4,58.8,10,1,46,16,9.2,6.8,87,57,87,57,87,73,8,7,8,7,8,7,72,72,144,144,72,72,7,7,14,14,7,7
Tammy,20000000,84518155,4.9,39,21577049,R,02/07/2014,97,88,14,329,88,82.25,51.75,10,2,36,11,9,6.75,,,,,,,,,,,,,75,30,75,30,75,51,8,3,8,3,8,6
Tangerine,100000,701837,7,85,74934,R,10/07/2015,88,91,17,346,244,86.5,75.25,8,2,29,22,7.25,6.75,91,57,91,57,91,73,8,6,8,6,8,7,91,57,182,114,91,75,8,6,15,12,7.5,7
Tangerines,650000,112818,8.3,73,4600,,17/04/2015,87,73,57,365,349,73,71.4,8,8,40,40,8,8,73,73,73,73,73,73,8,8,8,8,8,8,73,73,73,73,73,73,8,8,8,8,8,8
Ted 2,68000000,81257500,6.3,48,33507870,R,26/06/2015,115,90,16,392,138,78.4,53,9,1,40,16,8,6.4,78,18,78,18,78,54,7,3,7,3,7,6,78,18,140,62,70,52.5,7,3,14,8,7,6
Teenage Mutant Ninja Turtles,125000000,190871240,5.8,31,65575105,PG-13,08/08/2014,101,96,18,370,127,74,46,9,1,42,16,8.4,6.4,37,23,37,23,37,32,6,5,6,5,6,5,73,31,146,62,73,48,8,5,16,10,8,6
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,541226,6,40,35316382,PG-13,03/06/2016,112,96,22,308,100,77,48.5,9,3,34,16,8.5,6.5,53,40,53,40,53,47,6,5,6,5,6,5,73,31,146,62,73,48,8,5,16,10,8,6
Ten Thousand Saints,0,0,5.9,62,0,R,14/08/2015,113,100,22,328,153,82,60.5,9,2,33,18,8.25,7.25,90,38,180,76,90,58,8,5,16,10,8,6,90,38,180,76,90,58,8,5,16,10,8,6
Term Life,16500000,13040,5.5,23,13040,R,29/04/2016,93,87,10,397,94,79.4,51,9,3,44,21,8.8,6.8,79,23,79,23,79,50,9,3,9,3,9,7,,,,,,,,,,,,
Terminator Genisys,155000000,89732035,6.5,38,28700000,PG-13,01/07/2015,126,95,9,386,140,77.2,50.8,10,2,41,20,8.2,7,60,34,60,34,60,48,7,5,7,5,7,6,83,26,134,55,67,46,9,5,18,11,9,6.5
Test,0,0,6.9,70,0,,06/06/2014,89,76,28,264,211,66,60,8,4,23,17,7.6667,7,32,32,32,32,32,32,5,5,5,5,5,5,32,32,32,32,32,32,5,5,5,5,5,5
That Awkward Moment,8000000,26049082,6.2,36,8742109,R,31/01/2014,94,88,21,334,109,83.5,53.75,9,3,33,14,8.25,6.25,36,18,36,18,36,27,6,3,6,3,6,6,36,18,36,18,36,27,6,3,6,3,6,6
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,63000000,937103,7.1,58,31524,R,08/05/2015,114,75,49,249,223,62.25,58.75,8,5,29,26,7.25,7,72,72,72,72,72,72,6,6,6,6,6,6,72,58,130,130,65,65,7,6,13,13,6.5,6.5
The 33,26000000,12188642,6.9,55,5787266,PG-13,13/11/2015,127,87,12,399,112,79.8,51.4,9,1,45,14,9,6.8,59,44,59,44,59,51,8,5,8,5,8,6,84,31,139,86,69.5,56.5,8,2,14,8,7,7
The 5th Wave,38000000,34912982,5.2,33,10326356,PG-13,22/01/2016,112,89,33,257,165,51.4,42.2,9,4,32,23,6.4,5.6,,,,,,,,,,,,,73,25,145,58,72.5,52,9,4,18,9,9,6.5
The 9th Life of Louis Drax,0,0,6.3,41,0,R,02/09/2016,108,82,29,242,146,60.5,47,9,4,32,24,8,6.75,53,24,53,24,53,42,7,3,7,3,7,6,95,16,95,16,95,53,8,5,8,5,8,6
The Accountant,44000000,86198014,7.4,51,24710273,R,14/10/2016,128,93,9,348,92,87,55.75,10,1,37,13,9.25,6.75,75,34,75,34,75,57,10,2,10,2,10,8,51,21,51,21,51,40,8,6,8,6,8,7
The Adderall Diaries,0,11287,5.2,42,5517,R,15/04/2016,87,96,16,317,89,79.25,50.5,10,1,39,12,9.75,6.75,42,34,42,34,42,38,7,1,7,1,7,7,69,33,111,67,55.5,46.5,9,1,16,6,8,8
The Age of Adaline,25000000,42478175,7.2,51,13203458,PG-13,24/04/2015,112,92,20,409,140,81.8,57.8,10,2,48,20,9.6,7.2,65,51,65,51,65,58,7,7,7,7,7,7,72,29,127,80,63.5,54,8,4,16,11,8,7.5
The Age of Shadows,8620000,540268,7.2,78,165685,,23/09/2016,140,85,24,319,215,79.75,67.75,10,5,32,23,8,6.25,,,,,,,,,,,,,,,,,,,,,,,,
The Amazing Catfish,1300000,11278,7,69,733,,13/06/2014,89,74,33,350,309,70,66.6,10,5,39,33,7.8,7.6,69,69,69,69,69,69,7,7,7,7,7,7,69,69,69,69,69,69,7,7,7,7,7,7
The Amazing Spider-Man 2,200000000,202853933,6.7,53,91608337,PG-13,02/05/2014,142,93,18,336,100,84,55.25,9,1,36,12,9,7,76,29,76,29,76,57,8,7,8,7,8,8,82,34,164,68,82,55,9,5,18,10,9,7
The American Side,0,0,6.2,65,0,,22/04/2016,90,96,10,393,164,78.6,53.6,9,1,40,18,8,6.2,65,65,65,65,65,65,5,5,5,5,5,5,65,65,130,130,65,65,5,5,10,10,5,5
The Angriest Man in Brooklyn,0,0,5.7,21,0,R,23/05/2014,83,84,14,405,96,81,50.4,10,1,45,12,9,6.6,68,19,68,19,68,42,9,5,9,5,9,6,67,21,113,42,56.5,42.5,8,5,16,10,8,8
The Angry Birds Movie,73000000,107506776,6.3,43,38155177,PG,20/05/2016,97,83,12,378,134,75.6,52,10,2,45,14,9,6.6,43,43,86,86,43,43,6,6,12,12,6,6,80,39,80,39,80,51,8,4,8,4,8,6
The Art of the Steal,0,61446,6.3,53,39670,R,14/03/2014,90,86,14,384,89,76.8,53.4,10,2,44,15,8.8,7.2,53,53,53,53,53,53,8,8,8,8,8,8,53,53,53,53,53,53,8,8,8,8,8,8
The Assassin,0,30038362,6,80,0,R,16/10/2015,105,87,13,402,104,80.4,51.4,9,1,45,17,9,7.2,77,50,77,50,77,64,9,9,9,9,9,9,82,25,147,80,73.5,55.5,10,3,18,6,9,7.5
The Autopsy of Jane Doe,0,0,6.8,65,0,R,21/12/2016,86,86,16,380,171,76,57,10,1,43,19,8.6,6.8,65,61,65,61,65,63,7,7,7,7,7,7,65,40,130,105,65,59,7,6,14,13,7,7
The Babadook,2000000,924279,6.8,86,30007,,28/11/2014,93,86,36,430,346,86,77,10,5,42,36,8.4,7.6,86,67,86,67,86,77,8,8,8,8,8,8,86,67,86,67,86,77,8,8,8,8,8,8
The Bag Man,0,48817,5.3,28,29231,R,28/02/2014,108,93,17,356,109,71.2,46.6,10,1,43,13,8.6,6.6,31,28,31,28,31,30,6,3,6,3,6,6,65,28,96,56,48,38.5,8,3,14,9,7,7
The Banshee Chapter,950000,0,5.5,62,0,R,10/01/2014,87,87,1,361,108,72.2,52.8,9,3,38,22,7.6,6.6,62,62,62,62,62,62,6,6,6,6,6,6,62,62,124,124,62,62,6,6,12,12,6,6
The Barber,0,0,5.9,39,0,R,27/03/2015,95,90,14,320,106,80,52.5,9,4,33,16,8.25,6.5,39,39,39,39,39,39,4,4,4,4,4,4,,,,,,,,,,,,
The Benefactor,0,0,5.1,40,0,,15/01/2016,93,93,18,312,87,78,50,9,3,33,14,8.25,6.5,66,34,66,34,66,46,7,4,7,4,7,5,66,34,66,34,66,46,7,4,7,4,7,5
The Best of Me,26000000,26761283,6.7,29,10003827,PG-13,17/10/2014,118,89,19,375,126,75,47.2,9,1,41,14,8.2,6.2,6,6,6,6,6,6,4,4,4,4,4,4,55,29,95,58,47.5,41,8,4,16,9,8,6.5
The Better Angels,0,0,6.1,53,0,PG,07/11/2014,95,95,38,221,144,73.6667,57.6667,8,5,21,15,7,6.3333,50,50,50,50,50,50,5,5,5,5,5,5,50,50,50,50,50,50,5,5,5,5,5,5
The BFG,140000000,55472665,6.4,66,19584969,PG,01/07/2016,117,94,28,331,149,82.75,61.25,9,3,33,19,8.25,6.75,93,28,93,28,93,63,9,4,9,4,9,8,83,61,83,61,83,71,8,6,8,6,8,7
The Big Short,28000000,70235322,7.8,81,705527,R,11/12/2015,130,93,35,417,281,83.4,68.4,9,5,41,32,8.2,8,81,21,81,21,81,50,8,3,8,3,8,6,81,21,130,70,65,49.5,10,3,18,13,9,8
The Birth of a Nation,8500000,15858754,6.3,69,7004254,R,07/10/2016,120,98,24,180,61,90,58,9,1,17,6,8.5,7,,,,,,,,,,,,,,,,,,,,,,,,
The Black Panthers: Vanguard of the Revolution,0,482396,7.2,79,46985,,02/09/2015,115,,,,,,,,,,,,,84,79,84,79,84,81,9,5,9,5,9,8,84,79,84,79,84,81,9,5,9,5,9,8
The Blue Room,0,231186,6.3,73,21809,R,03/10/2014,76,92,52,394,307,78.8,70.2,10,2,36,21,7.2,6,92,57,92,57,92,72,10,4,10,4,10,7,92,57,165,130,82.5,72.5,10,4,15,9,7.5,6
The Book of Life,50000000,50150619,7.3,67,17005218,PG,17/10/2014,95,88,14,399,125,79.8,53.6,9,1,45,16,9,6.8,,,,,,,,,,,,,67,28,67,28,67,48,7,4,7,4,7,7
The Boss,29000000,63034755,5.4,40,23586645,R,08/04/2016,99,84,14,366,111,73.2,47.4,10,2,43,14,8.6,6,,,,,,,,,,,,,75,30,75,30,75,51,8,3,8,3,8,6
The Boxtrolls,60000000,50807639,6.8,61,17275239,PG,26/09/2014,96,93,18,324,106,81,56,10,1,35,14,8.75,6.75,,,,,,,,,,,,,70,61,131,122,65.5,63.5,8,7,15,14,7.5,7.5
The Boy,8000000,35794166,6,42,10778392,PG-13,22/01/2016,97,75,21,764,344,63.6667,46,10,3,104,48,8.6667,6.3333,42,24,168,96,42,33,7,5,28,20,7,7,42,42,168,168,42,42,7,7,28,28,7,7
The Boy,8000000,35794166,6,45,10778392,PG-13,14/08/2015,105,75,21,764,344,63.6667,46,10,3,104,48,8.6667,6.3333,42,24,168,96,42,33,7,5,28,20,7,7,42,42,168,168,42,42,7,7,28,28,7,7
The Boy Next Door,4000000,35385560,4.7,30,14910105,R,23/01/2015,91,85,17,376,111,75.2,41.6,9,2,42,15,8.4,5.8,67,24,67,24,67,40,8,4,8,4,8,6,30,30,30,30,30,30,5,5,5,5,5,5
The Brand New Testament,8555500,89182,7.1,70,19812,,09/12/2016,114,93,27,414,241,82.8,68,10,2,46,16,9.2,7.4,70,63,70,63,70,67,7,6,7,6,7,7,70,63,140,133,70,68.5,7,6,14,13,7,7
The Bronze,3500000,615654,6,44,386328,R,18/03/2016,100,82,18,233,64,77.6667,52.3333,10,2,27,10,9,6.6667,56,44,56,44,56,50,7,7,7,7,7,7,44,44,44,44,44,44,7,7,7,7,7,7
The Brothers Grimsby,35000000,6864016,6.2,44,3258327,R,11/03/2016,83,89,34,326,207,65.2,53.6,8,4,35,28,7,6.6,61,37,61,37,61,49,9,3,9,3,9,7,89,28,167,62,83.5,60,9,6,17,12,8.5,7
The Captive,0,0,5.9,36,0,R,12/12/2014,112,85,12,312,111,78,50.25,9,1,32,15,8,5.75,90,36,90,36,90,61,9,5,9,5,9,7,90,34,126,70,63,48,9,5,15,10,7.5,6.5
The Childhood of a Leader,3000000,0,6.2,68,0,,22/07/2016,115,89,28,396,232,79.2,62.6,9,4,39,27,7.8,7.2,87,34,87,34,87,65,9,4,9,4,9,7,87,34,144,91,72,61,9,4,17,12,8.5,7.5
